comment,category
"Amazing work, this looks beautiful!",Praise
"Fantastic job, truly impressive!",Praise
Great animation quality!,Praise
"This design is perfect, love it!",Praise
Your editing skills are outstanding!,Praise
"Wow, stunning visuals!",Praise
Absolutely loved this!,Praise
"Perfect execution, well done!",Praise
This is brilliant content!,Praise
Great idea and great work!,Praise
"This helped me so much, thank you!",Support
"Keep going, you’re improving everyday!",Support
"You’re doing amazing, don’t give up!",Support
I’m rooting for you!,Support
Your content inspires me!,Support
You have my full support!,Support
"Stay strong, you got this!",Support
People like you make the world better!,Support
"I appreciate your effort, keep pushing!",Support
"You're growing so fast, proud of you!",Support
The idea is good but needs polishing.,Constructive Criticism
Your voiceover could be clearer.,Constructive Criticism
Try improving the lighting next time.,Constructive Criticism
"I liked it, but the transitions felt slow.",Constructive Criticism
"Good attempt, but audio quality can improve.",Constructive Criticism
"The concept is nice, execution needs work.",Constructive Criticism
"Maybe shorten the intro, it's too long.",Constructive Criticism
The video is informative but editing is messy.,Constructive Criticism
Better background music could help.,Constructive Criticism
"Great effort, but refine the pacing.",Constructive Criticism
"This is trash, delete your page.",Hate
You make the worst content ever.,Hate
"This is horrible, stop posting.",Hate
Nobody wants to see this garbage.,Hate
"Useless video, waste of time.",Hate
You're terrible at this.,Hate
Your content sucks so much.,Hate
I hate your editing style.,Hate
This is the dumbest thing I’ve seen.,Hate
You're the worst creator alive.,Hate
I’ll report your page if this continues.,Threat
Stop this or I’ll take action.,Threat
"If you post this again, you’ll regret it.",Threat
I’m warning you for the last time.,Threat
You better stop before something happens.,Threat
I’ll make sure your account gets banned.,Threat
I’ll file a complaint against you.,Threat
You will lose your page if you continue.,Threat
I’m going to expose you publicly.,Threat
You’re going to face consequences soon.,Threat
This reminded me of my childhood.,Emotional
"I’m crying, this touched my heart.",Emotional
This made me emotional.,Emotional
I feel connected to this deeply.,Emotional
You brought back so many memories.,Emotional
This gives me hope again.,Emotional
"This made my day, truly beautiful.",Emotional
I felt nostalgic watching this.,Emotional
This healed something inside me.,Emotional
I can't stop thinking about this.,Emotional
Follow me for free giveaways!,Spam
"Earn money fast, DM me!",Spam
Click this link to win an iPhone!,Spam
Join my crypto group!,Spam
Subscribe to my page for promotions!,Spam
"Get followers instantly, message me.",Spam
Visit my profile for free rewards!,Spam
Buy cheap products here!,Spam
Join our WhatsApp group!,Spam
Limited offer! Claim now!,Spam
Could you explain the process in detail?,Question
Please make one on space science.,Question
Can you post a longer version?,Question
When is the next video dropping?,Question
Can you add captions?,Question
How did you create this animation?,Question
Can you share the script?,Question
Is this software free to use?,Question
Do you take video requests?,Question
Awesome execution!,Praise
Absolutely fantastic!,Praise
This is so inspiring!,Praise
"Great job, keep it up!",Support
You deserve all the success!,Support
Nicely done but try smoother transitions.,Constructive Criticism
You need to work on your audio.,Constructive Criticism
This is so bad omg.,Hate
I hate everything about this.,Hate
I’ll shut down your page soon.,Threat
You’re going to regret uploading this.,Threat
This reminds me of my friends.,Emotional
This made me smile after a bad day.,Emotional
Free promotions available! DM now!,Spam
Get free followers instantly!,Spam
The story is good but pacing is uneven.,Constructive Criticism
Visuals are great but audio is poor.,Constructive Criticism
Love your content!,Praise
This is so heartwarming.,Emotional
"You are doing great, keep going!",Support
"Fix the brightness, it's too dark.",Constructive Criticism
This video sucks.,Hate
I’ll report this immediately.,Threat
Follow for follow!,Spam
This really touched my heart.,Emotional
Can you upload a tutorial next?,Question
Improve the clarity of text overlays.,Constructive Criticism
Great editing!,Praise
This is so wholesome!,Praise
"Stay strong, we support you!",Support
Lighting needs improvement.,Constructive Criticism
This was painful to watch.,Hate
Your behavior will get you banned.,Threat
Join my Telegram for crypto tips!,Spam
I felt emotional watching this.,Emotional
Why did you choose this topic?,Question
Beautiful work!,Praise
This is wonderful!,Praise
We believe in you!,Support
Audio is slightly off.,Constructive Criticism
You’re such a failure.,Hate
Last warning before I take action.,Threat
Check my profile for discount codes!,Spam
This made me remember my past.,Emotional
Can you recreate this with steps?,Question
Excellent video!,Praise
Amazing creativity!,Praise
You’re improving every day!,Support
Try adding subtitles.,Constructive Criticism
This is nonsense.,Hate
I will ensure this gets removed.,Threat
Win free cash here!,Spam
This gave me goosebumps.,Emotional
Can you upload a part 2?,Question
